map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,2380,2399,2389.513912133891,1.5847524100285017e-09,1.5650068750575443e-09,1.4805016482777799e-09,0.9875403029230274,0.9342163727967785,0.9460032871889734
summed,,,2400,2419,2409.5137966804978,1.5654710965546758e-09,1.531845839321913e-09,1.4497136376326139e-09,0.978520678339724,0.9260558312594697,0.9463835070207484
summed,,,2420,2439,2429.513683127572,1.5466480147775895e-09,1.5207316989121257e-09,1.4460185304486516e-09,0.9832435592210742,0.934937048787142,0.9508702498166369
summed,,,2440,2459,2449.5135714285716,1.528267938022566e-09,1.4869539541389497e-09,1.411499389321836e-09,0.9729667927620906,0.9235941906549335,0.9492556144007788
summed,,,2460,2479,2469.5134615384613,1.5103162821432082e-09,1.4846747279511644e-09,1.409405162459868e-09,0.983022394385064,0.9331854387876011,0.9493023191718447
summed,,,2480,2499,2489.513353413655,1.4927798659586343e-09,1.469652680781057e-09,1.3954525559062137e-09,0.9845073036520857,0.9348012977185227,0.9495117956472483
summed,,,2500,2519,2509.513247011952,1.4756476964070069e-09,1.4300481951509728e-09,1.3521563734562373e-09,0.9690986531764578,0.9163138171452079,0.9455320303477518
summed,,,2520,2539,2529.51314229249,1.45890723483101e-09,1.423386286182772e-09,1.3461791874678609e-09,0.9756523596564709,0.9227311753127286,0.9457581547157065
summed,,,2540,2559,2549.513039215686,1.4425459218431937e-09,1.4249825898294934e-09,1.3354448661918256e-09,0.9878247674838254,0.9257555312245996,0.9371657420401315
summed,,,2560,2579,2569.512937743191,1.426551709346585e-09,1.4021138093994311e-09,1.3240027090375595e-09,0.9828692505241556,0.9281140672033565,0.9442904706891596
summed,,,2580,2599,2589.5128378378377,1.410913029415246e-09,1.3801708733335697e-09,1.303226303779997e-09,0.97821116153813,0.9236758585468021,0.9442499685798135
summed,,,2600,2619,2609.5127394636015,1.3956187625481762e-09,1.3547698124743992e-09,1.2865307328142662e-09,0.9707305811802118,0.9218353660316713,0.9496304988258494
summed,,,2620,2639,2629.5126425855515,1.3806582283453334e-09,1.3449102562868478e-09,1.2573929521016538e-09,0.9741080223008354,0.9107199206052549,0.934927030427428
summed,,,2640,2659,2649.512547169811,1.3660212970800535e-09,1.323936926932832e-09,1.2392049284446319e-09,0.9691920102291383,0.9071636958321962,0.9359999734394456
summed,,,2660,2679,2669.5124531835204,1.351699543513436e-09,1.3208343272579001e-09,1.2441219820354028e-09,0.9771656235265799,0.9204131110391517,0.9419212965325069
summed,,,2680,2699,2689.5123605947956,1.3376843844929148e-09,1.3043267639777542e-09,1.2285329222746777e-09,0.9750631607112573,0.9184026789251831,0.9418904496968757
summed,,,2700,2719,2709.512269372694,1.323966580312933e-09,1.2834117259543662e-09,1.199063603162873e-09,0.9693686721692165,0.9056600226868734,0.9342782046589371
