segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
0,1329.525,1.0022490798382966e-07,1.3114660152122592e-07,5.7393184234619625e-08,5.1037678566373523e-08,1.529838689587923e-07,1.372926415437742e-07,-2.210551188358281e-10
0,1349.5246296296295,9.76635931425876e-08,1.2755700234710551e-07,5.575755488356218e-08,4.885010726504303e-08,1.5176801676228925e-07,1.3711058387207983e-07,-2.4373232347655423e-10
0,1369.5242700729927,9.442959688815441e-08,1.2409724091544118e-07,5.312791658954598e-08,4.674777225471338e-08,1.50726247114626e-07,1.3691695090174422e-07,-2.313693288902197e-10
0,1389.5239208633093,9.210740934791641e-08,1.2077144269763633e-07,5.0607215927315316e-08,4.473133443402438e-08,1.5010606250197305e-07,1.3671159765078206e-07,-2.0347840558815254e-10
0,1409.5235815602837,8.95273370971617e-08,1.1761659970751703e-07,4.848642259769304e-08,4.282377311423962e-08,1.499423138880739e-07,1.364940900510456e-07,-2.2173984557194425e-10
0,1429.5232517482518,8.74007300611734e-08,1.1457814887985851e-07,4.6698194383634544e-08,4.099271814037765e-08,1.4941298381037784e-07,1.3626657041454408e-07,-2.1757202205966363e-10
0,1449.5229310344828,8.49149333310795e-08,1.1164774199524e-07,4.415368418211586e-08,3.923144972441125e-08,1.487242100295623e-07,1.360289335718946e-07,-1.9053644704615546e-10
0,1469.522619047619,8.245049179827528e-08,1.0886142387164947e-07,4.235435311827082e-08,3.756201274892796e-08,1.4910872445083394e-07,1.3578112452532948e-07,-1.982679667129313e-10
0,1489.5223154362416,8.068469963079641e-08,1.0619061668132936e-07,4.102550093304213e-08,3.596790117589656e-08,1.4848228927342891e-07,1.3552459459084278e-07,-2.0768179093071717e-10
0,1509.5220198675497,7.836306261642767e-08,1.0360464335237996e-07,3.9165002559304115e-08,3.4429629618544455e-08,1.475820991317548e-07,1.3525967194533144e-07,-1.8519829297095826e-10
0,1529.5217320261438,7.645250014113777e-08,1.0112879863776847e-07,3.664256145268641e-08,3.2961871555496326e-08,1.476096326826802e-07,1.3498620694038195e-07,-1.7268274417493973e-10
0,1549.5214516129033,7.474394790793863e-08,9.877415043096598e-08,3.543615804636478e-08,3.157204882474104e-08,1.46693618372298e-07,1.3470515121531996e-07,-1.8984716258429048e-10
0,1569.521178343949,7.273283288001709e-08,9.649373194718127e-08,3.4613593241856495e-08,3.023191565361203e-08,1.4634755322869712e-07,1.344172574428864e-07,-1.7927755753170147e-10
0,1589.5209119496856,7.082678950236924e-08,9.429527536497595e-08,3.275905768547291e-08,2.89447407506371e-08,1.4599249163862833e-07,1.341219453587835e-07,-1.5879241724840714e-10
