zbin,massbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
1,0,12792,0.44,0.48000000000000004,0,0.6843550362511182,0.8272142506708545,0.0,-0.8273008301006899
1,0,12792,0.48000000000000004,0.52,5,2.645373754691286,1.626173484426713,1.8900920866599804,1.4479551338514216
1,0,12792,0.52,0.56,8,8.891903094587676,2.9803691275503694,0.8996949151267113,-0.2992592717267711
1,0,12792,0.56,0.6000000000000001,24,25.927675982911147,5.084967208947903,0.9256518021830544,-0.3790931000536363
1,0,12792,0.6000000000000001,0.64,62,65.39060797672904,8.061052909405854,0.9481483949814983,-0.4206160181349003
1,0,12792,0.64,0.6799999999999999,149,142.1585712249367,11.847336273940721,1.048125334379157,0.5774655683667584
1,0,12792,0.6799999999999999,0.72,249,265.42108116036746,16.108500289277675,0.9381319634123341,-1.0194047158628325
1,0,12792,0.72,0.76,434,424.1582679753843,20.23716120180301,1.0232029710786796,0.48631979191522384
1,0,12792,0.76,0.8,583,580.7344531739108,23.535311679184666,1.0039011751648403,0.0962616028617523
1,0,12792,0.8,0.8400000000000001,696,702.6586912307567,25.763886027297843,0.9905235766470154,-0.2584505778243857
1,0,12792,0.8400000000000001,0.8800000000000001,881,867.1411948406217,28.428050532199226,1.015982178267895,0.48750459141336705
1,0,12792,0.8800000000000001,0.9199999999999999,1366,1335.9208924088719,34.57788866210018,1.022515635291017,0.8698942808528674
1,0,12792,0.9199999999999999,0.96,2252,2181.4050767259428,42.53055336033947,1.0323621339416762,1.659863737862586
1,0,12792,0.96,1.0,2606,2689.59595869044,46.071135813647736,0.9689187669916255,-1.8144974551653288
1,0,12792,1.0,1.04,2089,2125.1642597981495,42.04624702553011,0.9829828402056863,-0.860106724297911
1,0,12792,1.04,1.08,1025,1021.0470185775673,30.6270472418757,1.0038714979335033,0.12906831635495894
1,0,12792,1.08,1.12,306,294.6060819359608,16.962042801198383,1.0386750945166026,0.6717302979116538
1,0,12792,1.12,1.16,52,51.7356814989343,7.178063602820485,1.0051090174789936,0.03682309264602268
1,0,12792,1.16,1.2,5,5.908462773227676,2.430161997535893,0.8462438017983144,-0.3738280716054436
1,0,12792,1.2,1.24,0,0.5449520536954183,0.738191588292781,0.0,-0.7382257700277125
1,0,12792,1.24,1.28,0,0.059435816013699405,0.2437939140535762,0.0,-0.2437953229654362
1,0,12792,1.28,1.32,0,0.008118691629047325,0.09010374279152736,0.0,-0.09010382229994049
1,0,12792,1.32,1.3599999999999999,0,0.0010927709102658278,0.03305708348602253,0.0,-0.03305708777145698
1,0,12792,1.3599999999999999,1.4,0,0.00013003748400886028,0.011403397818844982,0.0,-0.011403398011245687
1,1,11991,0.2,0.24000000000000002,0,5.170605920700872e-06,0.002273896633910415,0.0,-0.0022738966422624902
1,1,11991,0.24000000000000002,0.28,0,4.6348104362996866e-05,0.0068079441153483305,0.0,-0.006807944304141141
1,1,11991,0.28,0.32,0,0.0003635517790351214,0.019067032089607826,0.0,-0.01906703556833417
1,1,11991,0.32,0.36,0,0.002496176093436643,0.049961720147281695,0.0,-0.04996177245455498
1,1,11991,0.36,0.4,0,0.015004777418968995,0.1224936680244662,0.0,-0.12249431061181076
1,1,11991,0.4,0.44,0,0.07895809593673658,0.28099160335210005,0.0,-0.2809980618452757
1,1,11991,0.44,0.48000000000000004,0,0.36356667181358615,0.6029383048930638,0.0,-0.6029914982397209
1,1,11991,0.48000000000000004,0.52,2,1.4634447232044756,1.209549376756716,1.366638567407343,0.4435993164944146
1,1,11991,0.52,0.56,8,5.141362170772218,2.2664574373541555,1.556007869952959,1.2612801732402854
1,1,11991,0.56,0.6000000000000001,18,15.728220914483433,3.961305453192453,1.1444396729845385,0.573492529763318
1,1,11991,0.6000000000000001,0.64,37,41.76902834792541,6.445647345572208,0.8858238140422943,-0.7398835357012611
