zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-22.9,-22.8,1.2,1.24,0,21,1.0079513739476598,0.9958062013993081,0.014002480391356539
0,-22.9,-22.8,1.24,1.28,0,21,1.0079513739476598,0.9958062013993081,0.014002480391356539
0,-22.9,-22.8,1.28,1.32,0,21,1.0079513739476598,0.9958062013993081,0.014002480391356539
0,-22.9,-22.8,1.32,1.3599999999999999,0,21,1.0079513739476598,0.9958062013993081,0.014002480391356539
0,-22.9,-22.8,1.3599999999999999,1.4,0,21,1.0079513739476598,0.9958062013993081,0.014002480391356539
0,-22.8,-22.7,0.2,0.24000000000000002,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.24000000000000002,0.28,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.28,0.32,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.32,0.36,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.36,0.4,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.4,0.44,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.44,0.48000000000000004,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.48000000000000004,0.52,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.52,0.56,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.56,0.6000000000000001,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.6000000000000001,0.64,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.64,0.6799999999999999,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.6799999999999999,0.72,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.72,0.76,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
