zbin,massbin,lower,upper,n_available,n_data,n_random,w_theta,jackknife_sigma,dd,dr,rr,null_reference
1,2,0.08,0.11742394140976554,1461,1461,4383,46.621951796948984,9.356583157208087,9.845011392084611e-05,1.7177936720541362e-06,2.0826493131995294e-06,0.0
1,2,0.11742394140976554,0.17235477520255066,1461,1461,4383,9.357923450853905,2.039828737683946,5.344434755703075e-05,4.528728771779086e-06,5.3107557486588e-06,0.0
1,2,0.17235477520255066,0.25298221281347033,1461,1461,4383,1.1265122250038289,0.45228252250946754,2.2502883181907682e-05,1.0619088154516477e-05,9.99671670335774e-06,0.0
1,2,0.25298221281347033,0.37132710668902225,1461,1461,4383,1.5100995196365465,0.40276347185868194,4.6881006628974334e-05,1.8739567331499665e-05,1.8431446421815835e-05,0.0
1,2,0.37132710668902225,0.5450336552463688,1461,1461,4383,1.0222097031356967,0.2965682888196855,8.063533140183585e-05,3.982158057943679e-05,4.467282776812991e-05,0.0
1,2,0.5450336552463688,0.7999999999999999,1461,1461,4383,0.9295539424929591,0.4647717925465173,0.00017252210439462555,8.948143400791091e-05,9.142830484945934e-05,0.0
1,2,0.7999999999999999,1.174239414097655,1461,1461,4383,0.4054321621573233,0.1862524380326539,0.0002822236599064255,0.00019754627228622565,0.0001898334848981371,0.0
1,2,1.174239414097655,1.7235477520255065,1461,1461,4383,0.13899291483832552,0.1194022127226941,0.0005110029722558203,0.000431322374746684,0.0004084075303184277,0.0
1,2,1.7235477520255065,2.529822128134703,1461,1461,4383,0.08632899945317078,0.03971673489619039,0.0009460587137727021,0.0008835705996802093,0.000898663178645597,0.0
1,2,2.529822128134703,3.7132710668902216,1461,1461,4383,0.0811513045523384,0.08965505363282132,0.0020590138111445527,0.001902222247208312,0.0018995844385692906,0.0
1,2,3.7132710668902216,5.450336552463689,1461,1461,4383,0.03170322360304601,0.042926802400087755,0.0041695967295809775,0.0040263522042337995,0.004010245385031354,0.0
1,2,5.450336552463689,8.0,1461,1461,4383,-0.009485235190312543,0.01989334671318525,0.008528592725943012,0.00854852212744686,0.008487941408410343,0.0
2,0,0.08,0.11742394140976554,47449,10000,30000,0.17101893000079824,0.10060703499601989,2.3202320232023202e-06,1.9633333333333333e-06,1.9378423725235285e-06,0.0
2,0,0.11742394140976554,0.17235477520255066,47449,10000,30000,0.11583915223535028,0.1195164955289309,5.060506050605061e-06,4.39e-06,4.206806893563119e-06,0.0
2,0,0.17235477520255066,0.25298221281347033,47449,10000,30000,0.26606837296463703,0.025214143571332587,1.124112411241124e-05,8.886666666666667e-06,8.900296676555885e-06,0.0
2,0,0.25298221281347033,0.37132710668902225,47449,10000,30000,0.15993919682088126,0.04998624041240054,2.272227222722272e-05,1.9533333333333335e-05,1.945620409569208e-05,0.0
2,0,0.37132710668902225,0.5450336552463688,47449,10000,30000,0.07629836983858403,0.018048856652288517,4.482448244824482e-05,4.1656666666666664e-05,4.16680556018534e-05,0.0
2,0,0.5450336552463688,0.7999999999999999,47449,10000,30000,0.04782466097582651,0.03029785893043387,9.41094109410941e-05,8.963e-05,8.942742535862306e-05,0.0
2,0,0.7999999999999999,1.174239414097655,47449,10000,30000,0.01810307532605423,0.014246682761531237,0.00019745974597459745,0.00019327333333333334,0.00019257308576952565,0.0
2,0,1.174239414097655,1.7235477520255065,47449,10000,30000,0.025070836785647314,0.006946718487835454,0.00042506250625062506,0.00041393666666666664,0.00041316932786648446,0.0
2,0,1.7235477520255065,2.529822128134703,47449,10000,30000,0.005971320009522321,0.004926462762660766,0.0008897489748974898,0.00088645,0.0008884562818760626,0.0
2,0,2.529822128134703,3.7132710668902216,47449,10000,30000,0.003223048533024748,0.004445915124827937,0.0018977297729772977,0.0018941333333333333,0.001896649888329611,0.0
2,0,3.7132710668902216,5.450336552463689,47449,10000,30000,-0.0024886195592580275,0.002638114597176575,0.004007980798079808,0.004024923333333334,0.004031832172183517,0.0
2,0,5.450336552463689,8.0,47449,10000,30000,0.005472749125514272,0.0031748732088470563,0.008505390539053906,0.008481056666666667,0.00850325899752214,0.0
2,1,0.08,0.11742394140976554,28547,10000,30000,0.13858181505793613,0.20551065440824579,2.12021202120212e-06,1.8966666666666666e-06,1.9422869651210597e-06,0.0
