n_realizations,seeds,segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,measured_uu,measured_uu_particle_shot,measured_uu_clustering,measured_2uh,measured_hh,measured_hh_parallel,measured_hh_residual,measured_coherent_total,measured_orthogonal_total,measured_total,cross_correlation,cross_correlation_jackknife_sem,linear_theory,corrected_two_halo_theory,one_halo_theory,particle_shot_theory,coherent_over_linear,coherent_over_linear_jackknife_sem,corrected_two_halo_over_linear,measured_total_over_baseline_total,measured_total_over_corrected_total,decomposition_valid,linear_power_evolution,two_halo_model
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,140,159,149.72166666666666,4.802789577234844e-06,3.987073862891348e-08,4.762918838605931e-06,3.4992293810555553e-06,8.640408897815261e-07,6.427049607686756e-07,2.2133592901285044e-07,8.904853180430162e-06,2.612066676417639e-07,9.166059848071926e-06,0.8624594364224959,0.0013050116269562662,9.171441390488898e-06,9.360049090606998e-06,1.072313459070332e-09,3.9300855187486097e-08,0.9709327903097984,0.004041206760763463,1.0205646737614977,0.9950330403668242,0.9750689485303783,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,160,179,169.6955882352941,4.075594611598072e-06,3.987073862891348e-08,4.0357238729691585e-06,2.96816984075221e-06,7.674243202707173e-07,5.457529108073795e-07,2.216714094633378e-07,7.549646624528748e-06,2.6154214809225127e-07,7.811188772620999e-06,0.8432964095402684,0.0015785361138062066,7.714781588397141e-06,7.914631198808272e-06,1.7229112534968392e-09,3.93008551874861e-08,0.9785949917082872,0.006476137057493761,1.0259047658214588,1.0071408983656773,0.9818410686160609,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,180,199,189.675,3.384739281619969e-06,3.987073862891348e-08,3.344868542991055e-06,2.486939643001271e-06,6.805888444638527e-07,4.622654603938967e-07,2.1832338406995598e-07,6.294073646386223e-06,2.5819412269886945e-07,6.552267769085092e-06,0.824144395008037,0.0012926082430896287,6.407633410089524e-06,6.612073120957768e-06,2.613537937915963e-09,3.9300855187486097e-08,0.9822774249968033,0.0043262057396017736,1.031905650305514,1.01592669269293,0.9847129642514676,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,200,219,209.65833333333333,2.933073792620156e-06,3.987073862891348e-08,2.8932030539912425e-06,2.1732688988666202e-06,6.26696191061632e-07,4.081201369763268e-07,2.1857605408530524e-07,5.47459208983419e-06,2.584467927142187e-07,5.733038882548408e-06,0.8069850409477839,0.0014783678745122673,5.550671953581913e-06,5.764102231242642e-06,3.7840045080508694e-09,3.930085518748609e-08,0.9862935759158623,0.005130259610460255,1.0384512504874297,1.024899557474568,0.9872316480890594,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,220,239,229.64456521739132,2.585315882275928e-06,3.987073862891348e-08,2.5454451436470144e-06,1.8974469846483055e-06,5.705042983328932e-07,3.5360269583266e-07,2.1690160250023318e-07,4.7964948241279795e-06,2.5677234112914665e-07,5.053267165257128e-06,0.7872783765826017,0.001406791318488573,4.911474543610192e-06,5.1348776544787026e-06,5.271078342597089e-09,3.9300855187486097e-08,0.9765895723450708,0.004999086203671713,1.0454859551617053,1.0196165811933529,0.9756378702779945,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,240,259,249.633,2.263025042463273e-06,3.987073862891348e-08,2.2231543038343593e-06,1.6782799568150308e-06,5.290458503152648e-07,3.1673730525464683e-07,2.12308545060618e-07,4.218171565904037e-06,2.521792836895315e-07,4.470350849593569e-06,0.7737540809910669,0.0013117460066911946,4.260643077003112e-06,4.486775562565802e-06,7.107095564676679e-09,3.9300855187486097e-08,0.9900316665039803,0.0043746952461619325,1.0530747310853716,1.037914531494047,0.986139395517565,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,260,279,269.6231481481482,1.9823899409900496e-06,3.987073862891348e-08,1.942519202361136e-06,1.4811490623403266e-06,4.949508387162449e-07,2.82339878829133e-07,2.1261095988711193e-07,3.7060081435305956e-06,2.524816985160254e-07,3.958489842046621e-06,0.7552749481353116,0.0021546895437013543,3.701522342203828e-06,3.928060969294735e-06,9.318793784845404e-09,3.9300855187486116e-08,1.001211880116357,0.004730667107707925,1.0612014750006966,1.0555573232588769,0.9954256381221852,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,280,299,289.6146551724138,1.7647901302009963e-06,3.987073862891348e-08,1.7249193915720828e-06,1.328199970185936e-06,4.661162802145746e-07,2.5568081172681864e-07,2.1043546848775598e-07,3.3088001734848375e-06,2.5030620711666945e-07,3.5591063806015063e-06,0.7406310788195896,0.0017804294330391376,3.3038511490276747e-06,3.5343411769152653e-06,1.1926402115315502e-08,3.930085518748611e-08,1.001497956243767,0.0070316904422097785,1.0697640473165457,1.0608116859165089,0.9926198442166029,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,300,319,309.60725806451615,1.5793172693766865e-06,3.987073862891348e-08,1.539446530747773e-06,1.1919566121714722e-06,4.410193698531952e-07,2.307258707792162e-07,2.10293499073979e-07,2.9621290136984618e-06,2.501642377028925e-07,3.212293251401354e-06,0.7233014149376294,0.0009712081727902995,2.970287735784734e-06,3.204150951285819e-06,1.4943010489849258e-08,3.93008551874861e-08,0.997253221636416,0.0035276738353138483,1.0787341955742544,1.062079579478859,0.9858514489030623,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,320,339,329.6007575757576,1.4330369677944195e-06,3.987073862891348e-08,1.393166229165506e-06,1.088250917019016e-06,4.199850534734386e-07,2.1251772286751963e-07,2.0746733060591895e-07,2.6939348690520416e-06,2.4733806923483245e-07,2.9412729382868735e-06,0.7113456162159826,0.001956946359320048,2.6438201270112717e-06,2.8768446756972065e-06,1.8374224079186366e-08,3.93008551874861e-08,1.0189554279917759,0.007254393305360775,1.0881393353145243,1.0887574153201216,1.002301290802889,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
